id_recipe,prep_time,cook_time,total_time,freeze_time,cool_time,stand_time,chill_time,soak_time,marinate_time,additional_time,refrigerate_time,rest_time,active_time,bake_time,grill_time,rise_time,fry_time,other_time_time,roast_time,process_time,release_pressure_time
7151739,,,35 mins,,,,,,,,,,20 mins,30 mins,,,,,,,
7113461,15 mins,8 mins,23 mins,,,,,,,,,,,,,,,,,,
7113106,5 mins,10 mins,15 mins,,,,,,,,,,,,,,,,,,
7112634,20 mins,20 mins,40 mins,,,,,,,,,,,,,,,,,,
6593061,5 mins,1 mins,8 mins,,,,,,,2 mins,,,,,,,,,,,
7107949,20 mins,15 mins,35 mins,,,,,,,,,,,,,,,,,,
7107673,5 mins,35 mins,40 mins,,,,,,,,,,,,,,,,,,
7107032,20 mins,30 mins,50 mins,,,,,,,,,,,,,,,,,,
6569147,30 mins,20 mins, 3 hrs 20 mins,,,,,,, 2 hrs 30 mins,,,,,,,,,,,
7097350,,,,,,,,,,,,,,,,,,,,,
6664883,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
7096286,15 mins,35 mins,50 mins,,,,,,,,,,,,,,,,,,
6651066,15 mins,15 mins,35 mins,,5 mins,,,,,,,,,,,,,,,,
7092656,20 mins,,40 mins,,,,,,,,,,,20 mins,,,,,,,
7091243,,30 mins,45 mins,,,,,,,,,,15 mins,,,,,,,,
6570031,20 mins,5 mins,25 mins,,,,,,,,,,,,,,,,,,
6951475,30 mins,,45 mins,,,,,,,,,,,15 mins,,,,,,,
6649411,10 mins,15 mins,25 mins,,,,,,,,,,,,,,,,,,
6649424,10 mins, 6 hrs 30 mins, 6 hrs 40 mins,,,,,,,,,,,,,,,,,,
6586409,20 mins,15 mins,35 mins,,,,,,,,,,,,,,,,,,
6663636,15 mins,25 mins,40 mins,,,,,,,,,,,,,,,,,,
6571454,10 mins,35 mins,45 mins,,,,,,,,,,,,,,,,,,
6575446,5 mins,25 mins,30 mins,,,,,,,,,,,,,,,,,,
6569951,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6605101,10 mins,20 mins,45 mins,,,,,,,15 mins,,,,,,,,,,,
6575891,30 mins,25 mins,55 mins,,,,,,,,,,,,,,,,,,
6578614,10 mins, 4 hrs, 4 hrs 10 mins,,,,,,,,,,,,,,,,,,
6664895,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
6561461,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
6591622,15 mins,15 mins,45 mins,,,,,,,15 mins,,,,,,,,,,,
6563652,10 mins,25 mins, 1 hr 35 mins,,,,,,, 1 hr,,,,,,,,,,,
6565292,20 mins,40 mins, 9 hrs,,,,,,, 8 hrs,,,,,,,,,,,
6597418,20 mins,25 mins,45 mins,,,,,,,,,,,,,,,,,,
6599418,10 mins,13 mins,38 mins,,,,,,,15 mins,,,,,,,,,,,
6602740,15 mins,35 mins,50 mins,,,,,,,,,,,,,,,,,,
6599370,15 mins,35 mins,50 mins,,,,,,,,,,,,,,,,,,
6580265,15 mins,35 mins, 12 hrs 50 mins,,,,,,, 12 hrs,,,,,,,,,,,
6565671,30 mins,45 mins, 1 hr 15 mins,,,,,,,,,,,,,,,,,,
6576272,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
6592455,10 mins, 6 hrs, 6 hrs 10 mins,,,,,,,,,,,,,,,,,,
6572401,10 mins,30 mins,50 mins,,,,,,,10 mins,,,,,,,,,,,
6585049,10 mins,30 mins, 2 hrs 10 mins,,,,,,, 1 hr 30 mins,,,,,,,,,,,
6565954,15 mins,,2 days 15 mins,,,,,,,2 days,,,,,,,,,,,
6563846,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
6576618,10 mins,25 mins,35 mins,,,,,,,,,,,,,,,,,,
6565604,5 mins,,5 mins,,,,,,,,,,,,,,,,,,
6562226,15 mins, 3 hrs, 11 hrs 15 mins,,,,,,, 8 hrs,,,,,,,,,,,
6562310,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
6582538,15 mins,30 mins,45 mins,,,,,,,,,,,,,,,,,,
6565305,10 mins,,10 mins,,,,,,,,,,,,,,,,,,
6562829,5 mins,20 mins,25 mins,,,,,,,,,,,,,,,,,,
7642173,30 mins,12 mins,52 mins,,20 mins,,,,,,,,,,,,,,,,
6737700,20 mins,45 mins, 1 hr 5 mins,,,,,,,,,,,,,,,,,,
6663393,30 mins, 1 hr, 1 hr 30 mins,,,,,,,,,,,,,,,,,,
6649719,20 mins,20 mins, 2 hrs 40 mins,,,,,,, 2 hrs,,,,,,,,,,,
6651083,15 mins,30 mins,50 mins,,,,,,,5 mins,,,,,,,,,,,
6598591,30 mins,10 mins, 1 hr,,,,,,,20 mins,,,,,,,,,,,
6649894,20 mins,40 mins, 1 hr,,,,,,,,,,,,,,,,,,
